Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,25.0268,0.9154,0.0589,2.2650
kodim02.png,29.2837,0.8933,0.0594,2.0498
kodim03.png,30.4969,0.9333,0.0447,2.3136
kodim04.png,29.0167,0.9105,0.0557,2.1894
kodim05.png,25.1409,0.9345,0.0450,2.2781
kodim06.png,26.1275,0.8978,0.0534,2.4983
kodim07.png,29.6242,0.9565,0.0377,2.2035
kodim08.png,24.4071,0.9428,0.0429,2.1908
kodim09.png,30.1400,0.9484,0.0344,2.2726
kodim10.png,29.9940,0.9433,0.0496,2.1944
kodim11.png,27.2926,0.9101,0.0537,2.3602
kodim12.png,29.8342,0.9078,0.0472,2.3993
kodim13.png,22.6907,0.8871,0.0836,2.3024
kodim14.png,26.2345,0.9100,0.0586,2.3715
kodim15.png,29.2042,0.9287,0.0439,2.2046
kodim16.png,28.4668,0.9023,0.0561,2.6152
kodim17.png,29.2109,0.9382,0.0524,2.2405
kodim18.png,25.6435,0.9116,0.0662,2.2386
kodim19.png,27.7035,0.9056,0.0712,2.4279
kodim20.png,29.7606,0.9462,0.0324,2.2496
kodim21.png,26.7470,0.9347,0.0506,2.3841
kodim22.png,27.5376,0.8939,0.0679,2.2929
kodim23.png,31.3376,0.9479,0.0379,2.0723
kodim24.png,25.3398,0.9276,0.0605,2.1761
