Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,31.2403,0.9785,0.0317,2.2356
kodim02.png,33.1653,0.9529,0.0693,2.0169
kodim03.png,34.7700,0.9705,0.1234,2.3955
kodim04.png,33.3498,0.9651,0.0815,2.3748
kodim05.png,31.7058,0.9837,0.0270,2.1449
kodim06.png,32.2162,0.9692,0.0481,2.3960
kodim07.png,34.2681,0.9800,0.0961,2.0934
kodim08.png,31.2927,0.9838,0.0202,2.1973
kodim09.png,34.0701,0.9702,0.0714,2.2197
kodim10.png,34.2431,0.9719,0.0819,2.2133
kodim11.png,32.5704,0.9683,0.0576,2.2354
kodim12.png,34.0940,0.9616,0.0872,2.5714
kodim13.png,30.0246,0.9761,0.0394,2.5454
kodim14.png,31.7832,0.9737,0.0423,2.3611
kodim15.png,33.6613,0.9669,0.0741,2.3460
kodim16.png,33.3442,0.9667,0.0889,2.3057
kodim17.png,33.7649,0.9738,0.0935,2.2604
kodim18.png,31.5089,0.9699,0.0507,2.2213
kodim19.png,32.8846,0.9690,0.0858,2.2030
kodim20.png,33.8797,0.9720,0.0586,2.3188
kodim21.png,32.5268,0.9718,0.0663,2.3015
kodim22.png,32.3500,0.9630,0.0718,2.2477
kodim23.png,34.8164,0.9707,0.0998,2.0998
kodim24.png,31.9251,0.9765,0.0554,2.2123
