Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,-38.3015,0.0016,0.7241,26.1553
kodim02.png,-39.0272,0.0003,0.7877,26.6597
kodim03.png,-38.5244,0.0007,0.8681,28.5032
kodim04.png,-37.8188,0.0007,0.8181,27.0301
kodim05.png,-40.9034,0.0000,0.5876,25.9591
kodim06.png,-40.5547,0.0012,0.7235,26.6716
kodim07.png,-38.4375,0.0007,0.8142,27.7905
kodim08.png,-41.6484,0.0011,0.5970,26.1877
kodim09.png,-38.1620,0.0011,0.8169,28.2028
kodim10.png,-37.5617,0.0012,0.8723,27.5264
kodim11.png,-38.7180,0.0000,0.7712,26.6638
kodim12.png,-40.2367,0.0010,0.7604,27.6925
kodim13.png,-39.6779,0.0010,0.7648,26.3919
kodim14.png,-39.7297,0.0005,0.7656,26.0501
kodim15.png,-42.5199,0.0000,0.8000,27.5099
kodim16.png,-37.3654,0.0009,0.8320,27.2674
kodim17.png,-40.0577,0.0005,0.8751,27.1989
kodim18.png,-39.6051,0.0000,0.8146,26.5890
kodim19.png,-38.5552,0.0014,0.8087,27.5055
kodim20.png,-44.7624,0.0007,0.7370,27.7774
kodim21.png,-38.2850,0.0009,0.8069,27.3374
kodim22.png,-37.2184,0.0000,0.8190,26.3691
kodim23.png,-40.1901,0.0006,0.8869,28.0293
kodim24.png,-39.4495,0.0000,0.7698,26.6940
