Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,-46.8768,0.0000,0.7544,35.5397
kodim02.png,-49.2584,0.0001,0.8398,35.3771
kodim03.png,-47.9645,0.0000,0.8536,34.6501
kodim04.png,-46.5173,0.0000,0.8232,34.9322
kodim05.png,-49.6443,0.0000,0.6000,36.1524
kodim06.png,-46.1129,0.0005,0.7399,35.2202
kodim07.png,-47.5109,0.0000,0.8181,35.2646
kodim08.png,-48.8730,0.0002,0.6067,35.9701
kodim09.png,-45.1216,0.0003,0.8046,34.5232
kodim10.png,-44.9354,0.0001,0.8533,34.9385
kodim11.png,-46.8865,0.0000,0.7876,35.7104
kodim12.png,-45.5220,0.0003,0.7890,34.6096
kodim13.png,-46.8532,0.0000,0.7307,35.9141
kodim14.png,-48.3158,0.0000,0.7685,35.5915
kodim15.png,-48.8624,0.0001,0.7868,34.8379
kodim16.png,-44.5138,0.0001,0.8402,34.7316
kodim17.png,-48.0888,0.0002,0.8763,34.9019
kodim18.png,-48.1492,0.0000,0.7819,35.9065
kodim19.png,-46.3163,0.0002,0.7858,34.4076
kodim20.png,-48.9941,0.0002,0.7161,34.4714
kodim21.png,-45.4765,0.0003,0.7838,34.9329
kodim22.png,-45.6624,0.0001,0.8071,35.8199
kodim23.png,-49.2315,0.0002,0.8377,34.7420
kodim24.png,-47.1008,0.0000,0.7526,35.6897
