Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,-31.9982,0.0042,0.6662,21.7540
kodim02.png,-32.2757,0.0010,0.7661,23.6202
kodim03.png,-31.3717,0.0015,0.9464,23.9740
kodim04.png,-31.4265,0.0027,0.7694,22.9718
kodim05.png,-34.6287,0.0000,0.5880,22.6685
kodim06.png,-33.8411,0.0035,0.7217,22.2638
kodim07.png,-31.6419,0.0020,0.8234,24.2569
kodim08.png,-35.7237,0.0036,0.5602,21.6811
kodim09.png,-31.6489,0.0030,0.7829,23.4291
kodim10.png,-31.2300,0.0033,0.8628,23.7144
kodim11.png,-32.4061,0.0000,0.7934,23.2729
kodim12.png,-34.2341,0.0030,0.7910,23.5868
kodim13.png,-33.6122,0.0039,0.7293,21.3395
kodim14.png,-32.9691,0.0034,0.7329,22.7914
kodim15.png,-36.2118,0.0000,0.7608,23.3396
kodim16.png,-30.9991,0.0010,0.8921,23.0999
kodim17.png,-33.7188,0.0032,0.8688,23.8672
kodim18.png,-33.4030,0.0000,0.7885,22.8213
kodim19.png,-32.3834,0.0037,0.8209,22.6711
kodim20.png,-38.1068,0.0022,0.6881,23.2690
kodim21.png,-32.2629,0.0015,0.8313,22.6723
kodim22.png,-31.2040,0.0010,0.7937,22.9610
kodim23.png,-32.7759,0.0017,0.9316,24.2560
kodim24.png,-33.4144,0.0000,0.7372,22.8498
