Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,-49.2445,0.0004,0.7371,40.1240
kodim02.png,-50.9338,0.0001,0.8360,40.3835
kodim03.png,-48.8601,0.0001,0.8283,40.1605
kodim04.png,-49.3856,0.0002,0.7823,40.4574
kodim05.png,-51.2600,0.0000,0.5974,39.8219
kodim06.png,-49.1432,0.0003,0.7190,40.4928
kodim07.png,-49.5317,0.0001,0.7563,39.8863
kodim08.png,-52.6127,0.0001,0.5746,40.4951
kodim09.png,-49.3760,0.0003,0.7759,40.4552
kodim10.png,-48.5594,0.0002,0.7995,40.1549
kodim11.png,-47.9941,0.0001,0.7578,40.1863
kodim12.png,-49.7399,0.0002,0.7566,40.6761
kodim13.png,-49.7039,0.0001,0.7559,40.4629
kodim14.png,-49.5572,0.0003,0.7561,40.0395
kodim15.png,-51.4818,0.0000,0.7722,40.3953
kodim16.png,-46.0946,0.0000,0.8187,40.6580
kodim17.png,-48.8223,0.0001,0.8468,39.9475
kodim18.png,-49.0988,0.0000,0.7667,39.9470
kodim19.png,-48.8414,0.0003,0.8000,40.5662
kodim20.png,-52.6718,0.0002,0.7160,40.4687
kodim21.png,-48.5281,0.0001,0.7729,40.5560
kodim22.png,-47.8960,0.0001,0.7811,40.4838
kodim23.png,-51.0160,0.0002,0.8267,39.9478
kodim24.png,-49.4335,0.0000,0.7519,40.0859
