Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,29.1891,0.9692,0.0249,0.5034
kodim02.png,32.4948,0.9444,0.0260,0.2126
kodim03.png,34.6956,0.9743,0.0130,0.1670
kodim04.png,32.6464,0.9587,0.0224,0.2294
kodim05.png,29.9660,0.9773,0.0188,0.5436
kodim06.png,30.5757,0.9606,0.0225,0.3773
kodim07.png,34.2690,0.9846,0.0139,0.2421
kodim08.png,29.3673,0.9773,0.0176,0.5320
kodim09.png,34.1617,0.9769,0.0140,0.1794
kodim10.png,34.3357,0.9765,0.0170,0.2081
kodim11.png,31.2394,0.9596,0.0245,0.3204
kodim12.png,33.6577,0.9578,0.0169,0.1791
kodim13.png,27.5602,0.9620,0.0366,0.7454
kodim14.png,30.2125,0.9629,0.0270,0.4235
kodim15.png,32.8373,0.9672,0.0183,0.2074
kodim16.png,32.3404,0.9605,0.0218,0.2447
kodim17.png,33.2190,0.9726,0.0192,0.2415
kodim18.png,29.9745,0.9635,0.0295,0.4577
kodim19.png,31.5865,0.9613,0.0222,0.2629
kodim20.png,33.4218,0.9754,0.0130,0.1772
kodim21.png,31.0798,0.9729,0.0189,0.3430
kodim22.png,31.0642,0.9527,0.0324,0.3302
kodim23.png,35.1756,0.9760,0.0140,0.1571
kodim24.png,30.2713,0.9726,0.0252,0.4585
