Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,23.4113,0.9252,0.1019,1.1418
kodim02.png,24.3056,0.8366,0.1801,1.0140
kodim03.png,24.7407,0.8586,0.2382,0.9223
kodim04.png,24.5284,0.8692,0.1768,0.9960
kodim05.png,23.3893,0.9372,0.0759,1.2181
kodim06.png,23.7619,0.8894,0.1236,1.0492
kodim07.png,24.8160,0.9050,0.1822,0.9733
kodim08.png,23.2723,0.9406,0.0749,1.1563
kodim09.png,24.2520,0.8625,0.2361,0.8693
kodim10.png,24.2258,0.8686,0.2049,0.9263
kodim11.png,23.9476,0.8828,0.1447,1.0340
kodim12.png,24.5473,0.8482,0.1876,0.9565
kodim13.png,23.0963,0.9278,0.0831,1.2923
kodim14.png,23.6192,0.9074,0.0983,1.1423
kodim15.png,24.2566,0.8559,0.1820,0.9176
kodim16.png,24.2591,0.8702,0.1842,0.9800
kodim17.png,24.7642,0.8966,0.1747,1.0079
kodim18.png,23.7922,0.8970,0.1276,1.1490
kodim19.png,24.2513,0.8876,0.1743,0.9932
kodim20.png,24.7743,0.8883,0.1234,0.8512
kodim21.png,23.8626,0.8832,0.1807,0.9988
kodim22.png,24.3549,0.8797,0.1558,1.0742
kodim23.png,24.8711,0.8662,0.2275,0.8727
kodim24.png,23.8303,0.9071,0.1362,1.1249
