Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,24.6588,0.9202,0.0890,1.5010
kodim02.png,27.4044,0.8600,0.1187,1.3174
kodim03.png,28.5146,0.9064,0.1296,1.3062
kodim04.png,27.4379,0.8863,0.1346,1.3702
kodim05.png,24.7430,0.9347,0.0666,1.5680
kodim06.png,25.6291,0.8929,0.1117,1.4090
kodim07.png,27.7997,0.9319,0.1017,1.3717
kodim08.png,24.6316,0.9425,0.0647,1.5428
kodim09.png,28.3932,0.9154,0.1471,1.3615
kodim10.png,28.0050,0.9063,0.1211,1.3822
kodim11.png,26.3472,0.8963,0.1111,1.3817
kodim12.png,28.0176,0.8749,0.1315,1.3398
kodim13.png,23.0770,0.9051,0.1240,1.6114
kodim14.png,25.2425,0.9012,0.1041,1.4779
kodim15.png,27.8175,0.9053,0.1264,1.3534
kodim16.png,27.1219,0.8850,0.1422,1.3398
kodim17.png,27.3569,0.9081,0.1433,1.3882
kodim18.png,25.2231,0.9016,0.1131,1.4718
kodim19.png,26.6579,0.8866,0.1675,1.3656
kodim20.png,28.5136,0.9290,0.0918,1.3258
kodim21.png,26.4387,0.9144,0.1363,1.4066
kodim22.png,26.3150,0.8793,0.1249,1.4019
kodim23.png,29.4707,0.9199,0.1554,1.3298
kodim24.png,25.2163,0.9158,0.0947,1.4653
