Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,31.2829,0.9815,0.0183,0.7409
kodim02.png,33.8589,0.9602,0.0229,0.2993
kodim03.png,36.3636,0.9818,0.0111,0.2244
kodim04.png,34.1950,0.9714,0.0206,0.3183
kodim05.png,31.9786,0.9860,0.0136,0.7308
kodim06.png,32.6242,0.9748,0.0182,0.5424
kodim07.png,35.8960,0.9887,0.0115,0.3026
kodim08.png,31.3723,0.9850,0.0130,0.7384
kodim09.png,35.7408,0.9820,0.0112,0.2388
kodim10.png,35.7130,0.9819,0.0144,0.2668
kodim11.png,33.0229,0.9728,0.0197,0.4518
kodim12.png,35.1402,0.9701,0.0156,0.2466
kodim13.png,30.0455,0.9783,0.0270,1.1076
kodim14.png,32.0678,0.9764,0.0223,0.5939
kodim15.png,34.4884,0.9763,0.0159,0.2917
kodim16.png,34.1251,0.9741,0.0183,0.3503
kodim17.png,34.8202,0.9807,0.0170,0.3197
kodim18.png,31.9405,0.9748,0.0236,0.6402
kodim19.png,33.3092,0.9745,0.0190,0.3861
kodim20.png,35.1149,0.9827,0.0104,0.2596
kodim21.png,33.0667,0.9803,0.0150,0.4881
kodim22.png,32.7641,0.9684,0.0268,0.4661
kodim23.png,36.6254,0.9818,0.0113,0.2010
kodim24.png,32.4435,0.9824,0.0196,0.6335
